filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley,peak_intensity,beam_pixels_10pct,beam_mean_10pct,beam_std_10pct,power_fraction_10pct
INT SID4 22h15m36s926ms.csv,1036.348844228125,1048.1546293948506,726.9838,0.0,3517.8914,0.0,2065.585325,2065.585325,2.6203865734871266,1473.9878519272243,165815815.0765,1036.348844228125,1.0113917096858613,3517.8914,3517.8914,95616,1718.3758415819527,823.5826467440982,0.9908839177547533
INT SID4 22h15m37s136ms.csv,1032.314597164375,1044.5617762355153,722.4288,0.0,3522.8286,0.0,2053.120125,2053.120125,2.611404440588788,1468.5965792067568,165170335.5463,1032.314597164375,1.0118638049919866,3522.8286,3522.8286,95793,1709.0616865261554,822.9156897017945,0.9911958197330636
INT SID4 22h15m37s331ms.csv,1051.90011351125,1058.994008897644,746.8326500000001,0.0,3578.2678,0.0,2091.1796000000004,2091.1796000000004,2.64748502224411,1492.6336290292877,168304018.16180003,1051.90011351125,1.0067438868912313,3578.2678,3578.2678,96295,1733.4732155594786,832.3098224964994,0.9918052172220029
INT SID4 22h15m37s536ms.csv,1016.70151537375,1023.0366464183845,723.05645,0.0,3395.6965,0.0,2028.371825,2028.371825,2.5575916160459613,1442.3173749225168,162672242.4598,1016.70151537375,1.0062310628526059,3395.6965,3395.6965,96502,1672.7388323464797,804.6303902302093,0.9923182981816407
INT SID4 22h15m37s735ms.csv,1029.388525083125,1036.946123484696,727.5905,0.0,3462.0479,0.0,2052.69195,2052.69195,2.59236530871174,1461.1267153210417,164702164.0133,1029.388525083125,1.0073418327651942,3462.0479,3462.0479,96363,1695.6680803565685,815.8682200372778,0.992091780981124
INT SID4 22h15m37s925ms.csv,1049.70204992,1056.8228324750316,743.0677000000001,0.0,3555.5791,0.0,2095.0971250000002,2095.0971250000002,2.642057081187579,1489.54419618257,167952327.9872,1049.70204992,1.0067836226056464,3555.5791,3555.5791,96191,1731.5514468682104,829.5034127087268,0.9917079877475344
INT SID4 22h15m38s130ms.csv,1058.1644161281251,1063.9134975251,754.15995,0.0,3564.5403,0.0,2106.688225,2106.688225,2.65978374381275,1500.538832328675,169306306.5805,1058.1644161281251,1.0054330700497471,3564.5403,3564.5403,96419,1742.2609231790414,834.8324527254754,0.992207906160467
INT SID4 22h15m38s330ms.csv,1049.067176723125,1055.2598883758433,749.1184499999999,0.0,3592.9941,0.0,2081.36655,2081.36655,2.6381497209396083,1487.9880421088321,167850748.2757,1049.067176723125,1.0059030649229357,3592.9941,3592.9941,96159,1731.0362458854604,826.6545139461446,0.9916828854089648
INT SID4 22h15m38s533ms.csv,1060.4299058924998,1063.8426699646038,761.6273,0.0,3546.9104,0.0,2100.40545,2100.40545,2.6596066749115095,1502.0871273800758,169668784.9428,1060.4299058924998,1.0032182835028882,3546.9104,3546.9104,96367,1747.138946544979,830.5265992778353,0.9923247751108785
INT SID4 22h15m38s736ms.csv,1065.223393709375,1068.604421915226,765.2088,0.0,3553.124,0.0,2107.09115,2107.09115,2.6715110547880654,1508.843647324393,170435742.9935,1065.223393709375,1.003174008593706,3553.124,3553.124,96786,1748.3535849100076,838.5346911687691,0.9928442655103953
INT SID4 22h15m38s936ms.csv,1059.7194712799999,1064.863408483349,756.94605,0.0,3598.8403,0.0,2101.1553,2101.1553,2.6621585212083727,1502.3090059800438,169555115.4048,1059.7194712799999,1.0048540555710797,3598.8403,3598.8403,96124,1749.4048369803586,831.9114186928947,0.9917706708431133
INT SID4 22h15m39s130ms.csv,1068.02829043375,1079.5801003992979,750.65005,0.0,3663.1348,0.0,2118.17755,2118.17755,2.698950250998245,1518.6080264546674,170884526.46940002,1068.02829043375,1.010816014958607,3663.1348,3663.1348,95741,1768.7537580472315,848.958747114221,0.9909747655211123
INT SID4 22h15m39s325ms.csv,1050.196582080625,1055.1750733721374,749.6126999999999,0.0,3562.6707,0.0,2080.4699,2080.4699,2.6379376834303434,1488.7243995328688,168031453.1329,1050.196582080625,1.0047405327502097,3562.6707,3562.6707,96331,1730.436047886973,826.2673421483172,0.992044238272208
INT SID4 22h15m39s535ms.csv,1048.1286583474998,1058.8001835439177,735.4561000000001,0.0,3544.5518,0.0,2084.519975,2084.519975,2.6470004588597944,1489.8404298818498,167700585.3356,1048.1286583474998,1.0101815031116903,3544.5518,3544.5518,96075,1730.9763291022637,834.2848204678719,0.9916694714314546
INT SID4 22h15m39s735ms.csv,1050.02989701625,1053.77831487146,753.30805,0.0,3540.3208,0.0,2080.0496000000003,2080.0496000000003,2.63444578717865,1487.617081515497,168004783.5226,1050.02989701625,1.0035698201221321,3540.3208,3540.3208,96245,1731.766859189568,822.1932356180189,0.9920783079386488
INT SID4 22h15m39s932ms.csv,1041.657996745,1049.8011254384073,737.26225,0.0,3482.0605,0.0,2070.11265,2070.11265,2.6245028135960182,1478.893808608155,166665279.4792,1041.657996745,1.007817468611437,3482.0605,3482.0605,96269,1717.598269677674,825.254771293216,0.9921170644557437
INT SID4 22h15m40s134ms.csv,1059.7942526756249,1065.0186908475757,757.78455,0.0,3587.1819,0.0,2101.0488,2101.0488,2.662546727118939,1502.4718235973335,169567080.4281,1059.7942526756249,1.0049296721120726,3587.1819,3587.1819,96154,1749.0894867743411,832.3848169301577,0.99183137485588
INT SID4 22h15m40s329ms.csv,1058.0446499331251,1069.2247005542558,741.10935,0.0,3596.8188,0.0,2105.893925,2105.893925,2.6730617513856396,1504.2249819319982,169287143.9893,1058.0446499331251,1.0105667096580815,3596.8188,3596.8188,95666,1753.9093064192084,838.8330255014962,0.9911531599735968
