filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m20s533ms_GradX.csv,6.596250000006876e-06,0.5966455912372722,0.0,-8.1494,3.5946,-0.2291,0.1697,0.3988,0.0014916139780931806,0.596643726753349,1.0554000000011001,0.37841286625000004,90452.22676284608,11.744
GRA SID4 22h15m20s728ms_GradX.csv,-7.81624999997348e-06,0.5975081375272192,0.0,-11.0823,3.7445,-0.2294,0.1701,0.39949999999999997,0.001493770343818048,0.5975062703624958,-1.2505999999957567,0.37867294,76444.33853637078,14.8268
GRA SID4 22h15m20s924ms_GradX.csv,-8.264374999998836e-06,0.5984131628981119,0.0,-8.4418,3.8684,-0.2312,0.167625,0.398825,0.0014960329072452796,0.5984112929111235,-1.3222999999998137,0.378741251875,72408.75329222632,12.3102
GRA SID4 22h15m21s127ms_GradX.csv,-3.052437500004999e-05,0.6044269503793983,0.0,-17.4961,3.5413,-0.228925,0.1702,0.39912499999999995,0.0015110673759484957,0.6044250623129905,-4.883900000007998,0.37998104437499997,19801.45148187168,21.037399999999998
GRA SID4 22h15m21s333ms_GradX.csv,-1.614875000000211e-05,0.5982784531292804,0.0,-8.6919,4.123,-0.2285,0.168,0.3965,0.001495696132823201,0.5982765837241376,-2.5838000000003376,0.37777908875000005,37047.97065291317,12.814900000000002
GRA SID4 22h15m21s534ms_GradX.csv,1.1237500000106593e-06,0.5979990751023981,0.0,-4.6179,5.7755,-0.2277,0.1692,0.39690000000000003,0.0014949976877559952,0.5979972063534243,0.17980000000170548,0.37791805999999994,532145.5332157443,10.3934
GRA SID4 22h15m21s732ms_GradX.csv,-3.0988749999983155e-05,0.6004002223534866,0.0,-11.6403,5.1157,-0.226325,0.1704,0.396725,0.0015010005558837164,0.6003983468995813,-4.958199999997305,0.37856620750000003,19374.779653230067,16.756
GRA SID4 22h15m21s933ms_GradX.csv,-3.995000000008986e-06,0.5939072242516998,0.0,-9.7428,6.1454,-0.225425,0.166925,0.39235,0.0014847680606292497,0.5939053683021606,-0.6392000000014377,0.3749408375,148662.59714337092,15.888200000000001
GRA SID4 22h15m22s123ms_GradX.csv,-4.75012500000048e-05,0.595305511117047,0.0,-8.4399,6.4874,-0.228,0.166125,0.394125,0.0014882637777926175,0.595303652679559,-7.600200000000768,0.37595429,12532.41753816098,14.927299999999999
GRA SID4 22h15m22s324ms_GradX.csv,-4.221625000002405e-05,0.596766703287622,0.0,-5.5204,7.0953,-0.2315,0.1694,0.40090000000000003,0.001491916758219055,0.5967648398819881,-6.7546000000038475,0.37821365875,14135.947393511613,12.6157
GRA SID4 22h15m22s525ms_GradX.csv,-7.967000000001007e-05,0.5986215209847536,0.0,-5.7243,10.593,-0.2289,0.1668,0.3957,0.0014965538024618841,0.5986196555911985,-12.747200000001612,0.37911130125,7513.763191551585,16.3173
GRA SID4 22h15m22s724ms_GradX.csv,-2.674312500000724e-05,0.5957470032466105,0.0,-10.2111,5.1271,-0.2296,0.1676,0.3972,0.0014893675081165262,0.5957451421345688,-4.278900000001158,0.376900713125,22276.640481238028,15.3382
GRA SID4 22h15m22s924ms_GradX.csv,-2.1621875000005274e-05,0.5984028808853247,0.0,-12.6094,5.0819,-0.226125,0.1701,0.396225,0.0014960072022133118,0.5984010112640289,-3.459500000000844,0.377690606875,27675.80763506269,17.691300000000002
GRA SID4 22h15m23s127ms_GradX.csv,-2.434187500000462e-05,0.5989106053867668,0.0,-15.8353,4.1044,-0.228,0.1707,0.3987,0.0014972765134669168,0.5989087342828726,-3.8947000000007392,0.377297966875,24604.126871184995,19.939700000000002
GRA SID4 22h15m23s325ms_GradX.csv,-4.38543750000008e-05,0.5993783334982572,0.0,-10.3047,6.5461,-0.227,0.1723,0.3993,0.001498445833745643,0.5993764620423775,-7.016700000000128,0.37946303062500003,13667.469205313655,16.8508
GRA SID4 22h15m23s524ms_GradX.csv,-3.83081250000032e-05,0.5937686090266407,0.0,-8.6184,3.6294,-0.2244,0.1671,0.39149999999999996,0.0014844215225666018,0.5937667547326033,-6.129300000000512,0.375132463125,15499.808292021153,12.2478
GRA SID4 22h15m23s727ms_GradX.csv,-3.317437499999869e-05,0.6079176764768662,0.0,-6.9598,6.9243,-0.2279,0.1724,0.4003,0.0015197941911921655,0.6079157776363331,-5.3078999999997905,0.382303339375,18324.916691029553,13.8841
GRA SID4 22h15m23s932ms_GradX.csv,-5.7866249999983664e-05,0.5983224676253955,0.0,-6.9359,12.0373,-0.2323,0.17,0.4023,0.0014958061690634888,0.5983206006630141,-9.258599999997386,0.37851997625,10339.748251974444,18.9732
GRA SID4 22h15m24s125ms_GradX.csv,-2.174125000001368e-05,0.5937717737237629,0.0,-6.0476,9.9694,-0.2273,0.167925,0.395225,0.0014844294343094072,0.5937699185821053,-3.4786000000021886,0.3753941775,27310.83752831837,16.017
GRA SID4 22h15m24s328ms_GradX.csv,7.164375000024847e-06,0.5953604473843964,0.0,-8.8036,4.3366,-0.2279,0.168,0.39590000000000003,0.001488401118460991,0.5953585869231983,1.1463000000039756,0.376765166875,83100.11191237472,13.1402
GRA SID4 22h15m24s534ms_GradX.csv,-4.835812500000429e-05,0.6008796172804871,0.0,-18.2972,4.1677,-0.2283,0.165425,0.393725,0.0015021990432012178,0.6008777414746593,-7.737300000000687,0.378024066875,12425.618339313516,22.4649
GRA SID4 22h15m24s729ms_GradX.csv,1.730687500003114e-05,0.609216535850519,0.0,-14.0884,4.3363,-0.2346,0.1743,0.40890000000000004,0.0015230413396262977,0.609214632291701,2.7691000000049826,0.38536283187500003,35200.83785481695,18.4247
GRA SID4 22h15m24s930ms_GradX.csv,-6.980312499999855e-05,0.6000123207423476,0.0,-4.4579,7.8721,-0.224125,0.1722,0.396325,0.0015000308018558689,0.6000104497612417,-11.168499999999767,0.37940768812500003,8595.78009074207,12.33
GRA SID4 22h15m25s127ms_GradX.csv,-3.190437499997642e-05,0.5982325238189177,0.0,-12.1504,4.7709,-0.2251,0.1686,0.3937,0.0014955813095472942,0.5982306551901093,-5.104699999996228,0.37728969187499994,18750.798442801693,16.9213
GRA SID4 22h15m25s333ms_GradX.csv,2.387437500001397e-05,0.5976434993653439,0.0,-11.883,5.1875,-0.2294,0.167,0.3964,0.0014941087484133598,0.5976416322033528,3.819900000002235,0.37739998562499993,25032.84271660102,17.0705
GRA SID4 22h15m25s533ms_GradX.csv,-3.396312500001386e-05,0.5992311850845015,0.0,-7.354,3.8399,-0.2284,0.1727,0.4011,0.0014980779627112536,0.5992293134466032,-5.434100000002218,0.378983849375,17643.581603302857,11.1939
GRA SID4 22h15m25s728ms_GradX.csv,1.8037499999991268e-06,0.6025945357583632,0.0,-16.3691,4.0109,-0.2272,0.1714,0.3986,0.0015064863393959079,0.6025926526501962,0.2885999999998603,0.379285185,334078.5594900044,20.38
GRA SID4 22h15m25s928ms_GradX.csv,-5.59312499999578e-06,0.6032720577230286,0.0,-22.1176,3.6528,-0.2281,0.171725,0.399825,0.0015081801443075716,0.6032701725208304,-0.8948999999993248,0.379031113125,107859.55076346998,25.7704
GRA SID4 22h15m26s123ms_GradX.csv,-3.4737500000119326e-06,0.5962568110485931,0.0,-10.6273,4.0354,-0.2281,0.1696,0.3977,0.0014906420276214827,0.596254947753266,-0.5558000000019092,0.37725744624999996,171646.38773664116,14.662700000000001
GRA SID4 22h15m26s334ms_GradX.csv,-3.770000000031359e-06,0.6000577200487327,0.0,-11.2477,4.1198,-0.2252,0.1716,0.39680000000000004,0.0015001443001218318,0.6000558448772706,-0.6032000000050175,0.37879826624999996,159166.4617711617,15.3675
GRA SID4 22h15m26s530ms_GradX.csv,-5.904062500001146e-05,0.5989622973578783,0.0,-14.303,5.0156,-0.2228,0.1731,0.39590000000000003,0.0014974057433946959,0.5989604285076456,-9.446500000001834,0.377552604375,10144.917795379779,19.3186
GRA SID4 22h15m26s734ms_GradX.csv,-4.51424999999972e-05,0.5997722576088035,0.0,-9.5337,4.5634,-0.2264,0.1709,0.3973,0.0014994306440220086,0.5997703850164244,-7.222799999999552,0.37880057500000003,13286.199132140257,14.0971
GRA SID4 22h15m26s924ms_GradX.csv,-3.6596249999979594e-05,0.6006790939256178,0.0,-13.2866,4.7085,-0.2285,0.1691,0.3976,0.0015016977348140444,0.6006772179153292,-5.8553999999967346,0.37859934375,16413.678382683316,17.9951
GRA SID4 22h15m27s125ms_GradX.csv,7.206249999853753e-07,0.5996225945057168,0.0,-12.4858,4.4135,-0.222725,0.1696,0.39232500000000003,0.001499056486264292,0.5996207206826141,0.11529999999766005,0.377159156875,832085.706757577,16.8993
GRA SID4 22h15m27s325ms_GradX.csv,-3.938562499999989e-05,0.595514141800106,0.0,-5.6313,7.7759,-0.2248,0.1708,0.3956,0.001488785354500265,0.5955122821179363,-6.3016999999999825,0.376812113125,15120.088272815763,13.4072
GRA SID4 22h15m27s533ms_GradX.csv,-5.745625000031396e-06,0.5965413813660988,0.0,-13.2547,6.4805,-0.2268,0.1695,0.3963,0.001491353453415247,0.596539517199039,-0.9193000000050233,0.375972159375,103825.30665289372,19.7352
