filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m19s925ms_GradY.csv,2.944125000000213e-05,0.5145583847207316,0.0,-5.6631,9.0564,-0.1856,0.1503,0.3359,0.001286395961801829,0.5145567775655326,4.7106000000003405,0.322285995,17477.46332928225,14.7195
GRA SID4 22h15m20s132ms_GradY.csv,8.387500000003456e-06,0.520018820049676,0.0,-5.6319,16.0065,-0.18512499999999998,0.1539,0.339025,0.00130004705012419,0.5200171950559664,1.342000000000553,0.32520390250000003,61999.25580330325,21.638399999999997
GRA SID4 22h15m20s333ms_GradY.csv,1.4761874999999236e-05,0.5194762004192705,0.0,-6.0312,15.3674,-0.185,0.1515,0.3365,0.0012986905010481762,0.5194745772633512,2.3618999999998778,0.32436097937499997,35190.39181871582,21.398600000000002
GRA SID4 22h15m20s533ms_GradY.csv,3.7503125000000635e-05,0.5169983867947779,0.0,-5.7654,13.9566,-0.1883,0.1493,0.3376,0.0012924959669869448,0.5169967725325396,6.000500000000102,0.323943543125,13785.474490706965,19.722
GRA SID4 22h15m20s728ms_GradY.csv,5.9847500000000765e-05,0.5207157388234063,0.0,-5.6402,16.8158,-0.1863,0.1513,0.3376,0.0013017893470585156,0.5207141150234215,9.575600000000122,0.32545579125,8700.709806135425,22.456
GRA SID4 22h15m20s924ms_GradY.csv,2.6852500000001102e-05,0.5190841479001955,0.0,-5.6201,13.3521,-0.1849,0.151,0.3359,0.0012977103697504888,0.519082526454248,4.296400000000176,0.3244996075,19330.94231707409,18.9722
GRA SID4 22h15m21s127ms_GradY.csv,5.9276249999993525e-05,0.5210387876346779,0.0,-5.8399,9.1624,-0.1844,0.1498,0.3342,0.0013025969690866948,0.5210371627577297,9.484199999998964,0.32560090875000003,8790.009132573765,15.0023
GRA SID4 22h15m21s333ms_GradY.csv,4.107999999999947e-05,0.524418075747225,0.0,-5.6904,15.6529,-0.1891,0.148025,0.337125,0.0013110451893680625,0.5244164385471721,6.572799999999916,0.32649488249999997,12765.775632459981,21.3433
GRA SID4 22h15m21s534ms_GradY.csv,3.9365624999999224e-05,0.5245634808835765,0.0,-5.7828,19.2323,-0.1885,0.1481,0.3366,0.0013114087022089412,0.5245618430972296,6.298499999999876,0.325229985625,13325.419514059977,25.015099999999997
GRA SID4 22h15m21s732ms_GradY.csv,4.782749999999964e-05,0.5244993695821613,0.0,-5.9606,13.7019,-0.1863,0.1509,0.3372,0.0013112484239554032,0.5244977326996991,7.652399999999943,0.32689658374999997,10966.480761396359,19.6625
GRA SID4 22h15m21s933ms_GradY.csv,6.954000000000633e-05,0.5230893808140635,0.0,-5.7236,15.1877,-0.189625,0.1492,0.338825,0.0013077234520351589,0.5230877507795657,11.126400000001013,0.32630698375,7522.136515557657,20.9113
GRA SID4 22h15m22s123ms_GradY.csv,4.82287499999984e-05,0.5186258535957909,0.0,-6.579,9.9211,-0.1874,0.1495,0.3369,0.0012965646339894773,0.5186242351299494,7.716599999999744,0.3244932975,10753.458110408212,16.5001
