filename,mean,std,median,min,max,q25,q75,iqr,sem,rms,sum,abs_mean,cv,peak_to_valley
GRA SID4 22h15m20s132ms_GMod.csv,0.5537612637499999,0.5661495150983412,0.48155,0.0,16.7814,0.0,0.9449,0.9449,0.001415373787745853,0.7919436895342529,88601.80219999999,0.5537612637499999,1.022371104947694,16.7814
GRA SID4 22h15m20s333ms_GMod.csv,0.554874776875,0.5675611353990833,0.482,0.0,15.6841,0.0,0.9471,0.9471,0.0014189028384977082,0.7937314704245463,88779.96429999999,0.554874776875,1.0228634622653219,15.6841
GRA SID4 22h15m20s533ms_GMod.csv,0.55239452375,0.5640315760750929,0.4782,0.0,14.2518,0.0,0.9433,0.9433,0.0014100789401877323,0.7894740909973709,88383.1238,0.55239452375,1.02106655990192,14.2518
GRA SID4 22h15m20s728ms_GMod.csv,0.55396732,0.5668153056067596,0.4823,0.0,16.8234,0.0,0.9457,0.9457,0.001417038264016899,0.7925637982526234,88634.7712,0.55396732,1.0231926778744573,16.8234
GRA SID4 22h15m20s924ms_GMod.csv,0.553361356875,0.566864976560474,0.4785,0.0,14.0687,0.0,0.9414,0.9414,0.001417162441401185,0.7921759177001422,88537.8171,0.553361356875,1.0244028960762794,14.0687
GRA SID4 22h15m21s127ms_GMod.csv,0.55528226,0.5731254953566028,0.4795,0.0,17.7799,0.0,0.9404,0.9404,0.001432813738391507,0.798003238554362,88845.1616,0.55528226,1.0321336312014915,17.7799
GRA SID4 22h15m21s333ms_GMod.csv,0.553980453125,0.5710123978670235,0.47835,0.0,16.1424,0.0,0.941125,0.941125,0.0014275309946675588,0.7955799539440944,88636.8725,0.553980453125,1.0307446673342275,16.1424
GRA SID4 22h15m21s534ms_GMod.csv,0.553301676875,0.5715112448720011,0.4775,0.0,19.2697,0.0,0.9391,0.9391,0.0014287781121800028,0.795465780056526,88528.2683,0.553301676875,1.0329107406628772,19.2697
GRA SID4 22h15m21s732ms_GMod.csv,0.55493668875,0.5723839290521701,0.4776,0.0,16.5425,0.0,0.9424,0.9424,0.0014309598226304252,0.7972302321864116,88789.8702,0.55493668875,1.03144005551415,16.5425
GRA SID4 22h15m21s933ms_GMod.csv,0.551296386875,0.5678191890302354,0.4772,0.0,17.2055,0.0,0.9361,0.9361,0.0014195479725755886,0.7914191825423096,88207.42190000002,0.551296386875,1.0299708152412612,17.2055
GRA SID4 22h15m22s123ms_GMod.csv,0.5508514918749999,0.5656166735346545,0.4752,0.0,10.2648,0.0,0.9373,0.9373,0.0014140416838366362,0.7895299791441978,88136.23869999999,0.5508514918749999,1.0268042873195637,10.2648
GRA SID4 22h15m22s324ms_GMod.csv,0.55091843625,0.5632202286279914,0.4769,0.0,10.0599,0.0,0.9392,0.9392,0.0014080505715699785,0.7878617687954531,88146.9498,0.55091843625,1.0223296073747414,10.0599
GRA SID4 22h15m22s525ms_GMod.csv,0.55506435875,0.5663774547588244,0.4823,0.0,10.6056,0.0,0.9467,0.9467,0.001415943636897061,0.7930181957037619,88810.29740000001,0.55506435875,1.0203815932863731,10.6056
GRA SID4 22h15m22s724ms_GMod.csv,0.553266164375,0.5675529684309543,0.4787,0.0,16.1309,0.0,0.9426,0.9426,0.0014188824210773856,0.7926019223984304,88522.5863,0.553266164375,1.0258226600050044,16.1309
GRA SID4 22h15m22s924ms_GMod.csv,0.550242944375,0.5670826494979936,0.47425,0.0,17.6963,0.0,0.9351,0.9351,0.001417706623744984,0.790156958650661,88038.8711,0.550242944375,1.0306041273116016,17.6963
GRA SID4 22h15m23s127ms_GMod.csv,0.55023184125,0.5673358880408249,0.4747,0.0,16.7247,0.0,0.937125,0.937125,0.0014183397201020622,0.7903309922411464,88037.0946,0.55023184125,1.0310851635756617,16.7247
GRA SID4 22h15m23s325ms_GMod.csv,0.55726579875,0.5676276988293493,0.4873,0.0,15.7218,0.0,0.9519,0.9519,0.0014190692470733733,0.7954522997498027,89162.52780000001,0.55726579875,1.018594179118068,15.7218
GRA SID4 22h15m23s524ms_GMod.csv,0.549796571875,0.5661995309110257,0.47545,0.0,16.7721,0.0,0.9352,0.9352,0.0014154988272775642,0.7892123767481333,87967.4515,0.549796571875,1.0298345967837814,16.7721
GRA SID4 22h15m23s727ms_GMod.csv,0.56104254125,0.5833106264049285,0.4821,0.0,16.2914,0.0,0.9462,0.9462,0.001458276566012321,0.809331757315024,89766.8066,0.56104254125,1.0396905466460273,16.2914
GRA SID4 22h15m23s932ms_GMod.csv,0.551182038125,0.571362188424622,0.4789,0.0,26.3027,0.0,0.9391,0.9391,0.0014284054710615552,0.7938856020679633,88189.1261,0.551182038125,1.0366124962403236,26.3027
GRA SID4 22h15m24s125ms_GMod.csv,0.5494445425,0.5626164395583625,0.4765,0.0,10.0358,0.0,0.9345,0.9345,0.0014065410988959063,0.7863997615630997,87911.1268,0.5494445425,1.023973114734029,10.0358
GRA SID4 22h15m24s328ms_GMod.csv,0.550008063125,0.5653746962112542,0.4755,0.0,17.176,0.0,0.9351,0.9351,0.0014134367405281357,0.7887682922221598,88001.2901,0.550008063125,1.0279389232912646,17.176
GRA SID4 22h15m24s534ms_GMod.csv,0.54807981125,0.5671384960860533,0.4717,0.0,18.538,0.0,0.931425,0.931425,0.001417846240215133,0.7886922992870065,87692.76980000001,0.54807981125,1.034773557507166,18.538
GRA SID4 22h15m24s729ms_GMod.csv,0.55781774375,0.5739485833959883,0.4842,0.0,16.7792,0.0,0.9479,0.9479,0.0014348714584899707,0.8003596396423922,89250.839,0.55781774375,1.0289177600133652,16.7792
GRA SID4 22h15m24s930ms_GMod.csv,0.5516112193749999,0.5673679985320146,0.4761,0.0,10.1251,0.0,0.9366,0.9366,0.0014184199963300365,0.7913149633258002,88257.79509999999,0.5516112193749999,1.0285650084743367,10.1251
GRA SID4 22h15m25s127ms_GMod.csv,0.5494279306250001,0.5665063208287175,0.4736,0.0,15.8461,0.0,0.9332,0.9332,0.0014162658020717938,0.7891758084742192,87908.4689,0.5494279306250001,1.0310839497789255,15.8461
GRA SID4 22h15m25s333ms_GMod.csv,0.54961311875,0.5657717675892856,0.475,0.0,16.2026,0.0,0.9348,0.9348,0.001414429418973214,0.7887777080347954,87938.099,0.54961311875,1.0294000421150906,16.2026
GRA SID4 22h15m25s533ms_GMod.csv,0.551429353125,0.5689212760490867,0.4742,0.0,16.7721,0.0,0.9364,0.9364,0.0014223031901227168,0.7923027999968273,88228.69649999999,0.551429353125,1.0317210587792012,16.7721
GRA SID4 22h15m25s728ms_GMod.csv,0.552097215625,0.569136540615208,0.4788,0.0,17.4764,0.0,0.939,0.939,0.00142284135153802,0.7929222615659195,88335.5545,0.552097215625,1.0308629069427344,17.4764
GRA SID4 22h15m25s928ms_GMod.csv,0.551871541875,0.5697812631034354,0.478,0.0,22.5093,0.0,0.9397,0.9397,0.0014244531577585883,0.7932281244688929,88299.4467,0.551871541875,1.032452699348392,22.5093
GRA SID4 22h15m26s123ms_GMod.csv,0.55153117875,0.5664347044023259,0.4789,0.0,15.8883,0.0,0.9386,0.9386,0.0014160867610058148,0.7905902289954007,88244.9886,0.55153117875,1.027022090908943,15.8883
GRA SID4 22h15m26s334ms_GMod.csv,0.553477803125,0.5696702650723087,0.4773,0.0,11.599,0.0,0.9395,0.9395,0.0014241756626807718,0.7942668702541436,88556.4485,0.553477803125,1.0292558470364213,11.599
GRA SID4 22h15m26s530ms_GMod.csv,0.55249589,0.5692412628570409,0.476,0.0,16.6474,0.0,0.9383,0.9383,0.0014231031571426023,0.7932750459855491,88399.3424,0.55249589,1.030308592623215,16.6474
